iter	Passed	Remaining
482	956	1024
483	957	1020
484	957	1017
485	958	1013
486	958	1009
487	959	1006
488	959	1002
489	960	999
490	960	995
491	960	992
492	961	988
493	961	985
494	962	981
495	962	978
496	963	974
497	963	971
498	963	967
499	964	964
500	964	960
501	965	957
502	965	954
503	966	950
504	966	947
505	966	944
506	967	940
507	967	937
508	968	933
509	968	930
510	969	927
511	969	924
512	970	921
513	970	917
514	971	914
515	971	911
516	971	908
517	972	904
518	973	901
519	973	898
520	973	895
521	974	892
522	974	889
523	975	886
524	975	882
525	976	879
526	976	876
527	977	873
528	977	870
529	977	867
530	978	864
531	978	861
532	979	858
533	979	854
534	980	851
535	980	848
536	980	845
537	981	842
538	981	839
539	982	836
540	982	833
541	983	830
542	983	827
543	984	824
544	984	821
545	984	818
546	985	816
547	985	813
548	986	810
549	986	807
550	987	804
551	987	801
552	988	798
553	988	795
554	989	793
555	989	790
556	989	787
557	990	784
558	990	781
559	991	778
560	991	775
561	992	773
562	992	770
563	992	767
564	993	764
565	993	761
566	994	759
567	994	756
568	995	753
569	995	750
570	995	748
571	996	745
572	996	742
573	997	740
574	997	737
575	998	734
576	998	732
577	999	729
578	999	726
579	1000	724
580	1000	721
581	1001	718
582	1001	716
583	1001	713
584	1002	711
585	1002	708
586	1003	705
587	1003	703
588	1004	700
589	1004	698
590	1004	695
591	1005	692
592	1005	690
593	1006	687
594	1006	685
595	1007	682
596	1007	680
597	1007	677
598	1008	675
599	1008	672
600	1009	669
601	1009	667
602	1009	664
603	1010	662
604	1010	659
605	1011	657
606	1011	655
607	1012	652
608	1012	650
609	1012	647
610	1013	645
611	1013	642
612	1014	640
613	1014	637
614	1015	635
615	1015	633
616	1015	630
617	1016	628
618	1016	625
619	1017	623
620	1017	621
621	1018	618
622	1018	616
623	1019	614
624	1019	611
625	1020	609
626	1020	607
627	1021	604
628	1021	602
629	1021	600
630	1022	597
631	1022	595
632	1023	593
633	1023	590
634	1024	588
635	1024	586
636	1025	584
637	1025	581
638	1025	579
639	1026	577
640	1026	575
641	1027	572
642	1027	570
643	1028	568
644	1028	566
645	1028	563
646	1029	561
647	1029	559
648	1030	557
649	1030	554
650	1030	552
651	1031	550
652	1031	548
653	1032	546
654	1032	543
655	1033	541
656	1033	539
657	1034	537
658	1034	535
659	1034	533
660	1035	531
661	1035	528
662	1036	526
663	1036	524
664	1037	522
665	1037	520
666	1038	518
667	1038	516
668	1038	514
669	1039	511
670	1039	509
671	1040	507
672	1040	505
673	1041	503
674	1041	501
675	1042	499
676	1042	497
677	1043	495
678	1043	493
679	1043	491
680	1044	489
681	1044	487
682	1045	485
683	1045	483
684	1046	481
685	1046	479
686	1047	477
687	1047	475
688	1048	473
689	1048	471
690	1048	469
691	1049	467
692	1049	465
693	1050	463
694	1050	461
695	1051	459
696	1051	457
697	1052	455
698	1052	453
699	1052	451
700	1053	449
701	1053	447
702	1054	445
703	1054	443
704	1055	441
705	1055	439
706	1056	437
707	1056	435
708	1056	433
709	1057	431
710	1057	430
711	1058	428
712	1058	426
713	1059	424
714	1059	422
715	1060	420
716	1060	418
717	1060	416
718	1061	414
719	1061	412
720	1062	411
721	1062	409
722	1063	407
723	1063	405
724	1063	403
725	1064	401
726	1064	399
727	1065	398
728	1065	396
729	1066	394
730	1066	392
731	1066	390
732	1067	388
733	1067	386
734	1068	385
735	1068	383
736	1069	381
737	1069	379
738	1069	377
739	1070	376
740	1070	374
741	1071	372
742	1071	370
743	1071	368
744	1072	367
745	1072	365
746	1073	363
747	1073	361
748	1074	359
749	1074	358
750	1074	356
751	1075	354
752	1075	352
753	1076	351
754	1076	349
755	1076	347
756	1077	345
757	1077	344
758	1078	342
759	1078	340
760	1079	338
761	1079	337
762	1079	335
763	1080	333
764	1080	332
765	1081	330
766	1081	328
767	1082	326
768	1082	325
769	1082	323
770	1083	321
771	1083	320
772	1084	318
773	1085	316
774	1086	315
775	1086	313
776	1087	312
777	1088	310
778	1089	309
779	1089	307
780	1090	305
781	1090	304
782	1091	302
783	1092	300
784	1092	299
785	1093	297
786	1093	296
787	1094	294
788	1095	292
789	1095	291
790	1096	289
791	1097	288
792	1097	286
793	1098	284
794	1099	283
795	1099	281
796	1100	280
797	1101	278
798	1102	277
799	1103	275
800	1103	274
801	1104	272
802	1104	270
803	1105	269
804	1105	267
805	1106	266
806	1106	264
807	1107	263
808	1108	261
809	1109	260
810	1110	258
811	1110	257
812	1111	255
813	1112	254
814	1114	253
815	1115	251
816	1116	249
817	1116	248
818	1117	246
819	1118	245
820	1119	243
821	1119	242
822	1120	240
823	1120	239
824	1121	237
825	1121	236
826	1122	234
827	1123	233
828	1123	231
829	1124	230
830	1124	228
831	1125	227
832	1125	225
833	1126	224
834	1126	222
835	1127	221
836	1127	219
837	1128	218
838	1128	216
839	1128	215
840	1129	213
841	1129	211
842	1130	210
843	1130	208
844	1131	207
845	1131	206
846	1132	204
847	1132	203
848	1133	201
849	1133	200
850	1134	198
851	1134	197
852	1134	195
853	1135	194
854	1135	192
855	1136	191
856	1136	189
857	1136	188
858	1137	186
859	1137	185
860	1138	183
861	1138	182
862	1139	180
863	1139	179
864	1139	177
865	1140	176
866	1140	174
867	1141	173
868	1141	172
869	1141	170
870	1142	169
871	1142	167
872	1143	166
873	1143	164
874	1144	163
875	1144	162
876	1144	160
877	1145	159
878	1145	157
879	1146	156
880	1146	154
881	1147	153
882	1147	152
883	1147	150
884	1148	149
885	1148	147
886	1149	146
887	1149	144
888	1149	143
889	1150	142
890	1150	140
891	1151	139
892	1151	137
893	1152	136
894	1152	135
895	1152	133
896	1153	132
897	1153	131
898	1154	129
899	1154	128
900	1155	126
901	1155	125
902	1155	124
903	1156	122
904	1156	121
905	1157	120
906	1157	118
907	1157	117
908	1158	115
909	1158	114
910	1159	113
911	1159	111
912	1160	110
913	1160	109
914	1160	107
915	1161	106
916	1161	105
917	1162	103
918	1162	102
919	1163	101
920	1163	99
921	1163	98
922	1164	97
923	1164	95
924	1165	94
925	1165	93
926	1165	91
927	1166	90
928	1166	89
929	1167	87
930	1167	86
931	1167	85
932	1168	83
933	1168	82
934	1169	81
935	1169	79
936	1170	78
937	1170	77
938	1170	76
939	1171	74
940	1171	73
941	1172	72
942	1172	70
943	1173	69
944	1174	68
945	1175	67
946	1175	65
947	1176	64
948	1176	63
949	1177	61
950	1177	60
951	1177	59
952	1178	58
953	1178	56
954	1179	55
955	1179	54
956	1179	53
957	1180	51
958	1180	50
959	1181	49
960	1181	47
961	1182	46
962	1182	45
963	1183	44
964	1183	42
965	1183	41
966	1184	40
967	1184	39
968	1185	37
969	1185	36
970	1186	35
971	1186	34
972	1186	32
973	1187	31
974	1187	30
975	1188	29
976	1188	27
977	1189	26
978	1189	25
979	1190	24
980	1190	23
981	1190	21
982	1191	20
983	1191	19
984	1192	18
985	1192	16
986	1193	15
987	1193	14
988	1194	13
989	1194	12
990	1194	10
991	1195	9
992	1195	8
993	1196	7
994	1196	6
995	1197	4
996	1197	3
997	1197	2
998	1198	1
999	1198	0
